排名	关键词	热度	特征	时间
1	国产HPV疫苗329元一支	3422099	新	2020-01-03T09:20:48.133602
2	岳云鹏 岁月到底是把什么刀	1530911	新	2020-01-03T09:20:48.133785
3	新年宫气妆	1527117	荐	2020-01-03T09:20:48.133938
4	章子怡二胎生子	1527039	沸	2020-01-03T09:20:48.134100
5	BIGBANG将参加音乐节	1260172	沸	2020-01-03T09:20:48.134255
6	美丽人生4K修复上映	1198162		2020-01-03T09:20:48.134403
7	妈妈长的好看是什么体验	1087922	沸	2020-01-03T09:20:48.134524
8	伊朗少将在伊拉克遇袭身亡	687550	沸	2020-01-03T09:20:48.134666
9	束带手镯	620299		2020-01-03T09:20:48.134811
10	工信部下架首批侵害用户权益APP名单	561301	新	2020-01-03T09:20:48.134929
11	中国农大教授李宁贪污被判12年	533808	新	2020-01-03T09:20:48.135071
12	易烊千玺寸头	507813	沸	2020-01-03T09:20:48.135212
13	药水哥 一龙	481698		2020-01-03T09:20:48.135349
14	工信部回应4G网速变慢	441256		2020-01-03T09:20:48.135462
15	日本元旦期间九连休	423211	新	2020-01-03T09:20:48.135577
16	焦糖色冰川	354427		2020-01-03T09:20:48.135717
17	朴灿烈严格管理体重	353533		2020-01-03T09:20:48.135830
18	什么样的女生一看就是单身	350679		2020-01-03T09:20:48.135942
19	金拱门眉	350477		2020-01-03T09:20:48.136053
20	中国风神仙美甲	346996	新	2020-01-03T09:20:48.136164
21	芝士咸蛋黄蛋糕	346666		2020-01-03T09:20:48.136303
22	拥有稀有姓氏是什么体验	337925	新	2020-01-03T09:20:48.136413
23	车厘子红色毛衣	335496		2020-01-03T09:20:48.136553
24	王思聪庆生派对	298416	热	2020-01-03T09:20:48.136666
25	2020艺考表演系新变化	292025		2020-01-03T09:20:48.136804
26	笑脸鞋	287536		2020-01-03T09:20:48.136916
27	刘昊然财神造型	287501		2020-01-03T09:20:48.137026
28	陈乔恩艾伦约会	282299		2020-01-03T09:20:48.137135
29	姜子牙哪吒联合海报	271441		2020-01-03T09:20:48.137248
30	春运火车票已售超3亿张	261913		2020-01-03T09:20:48.137361
31	美丽人生	253870	新	2020-01-03T09:20:48.137473
32	男女取悦对方的区别	250475		2020-01-03T09:20:48.137613
33	明星去KTV是什么样子	242277		2020-01-03T09:20:48.137724
34	大明风华油管翻译	210816		2020-01-03T09:20:48.137834
35	伊朗最高领导人称将严厉报复美国	206152	新	2020-01-03T09:20:48.137945
36	伊戈达拉勇士有意重新合作	204745	新	2020-01-03T09:20:48.138099
37	合租时室友哪些行为最难忍	201586	新	2020-01-03T09:20:48.138238
38	邓超 感谢孙俪在茫茫大海找到我	195420		2020-01-03T09:20:48.138314
39	和爸妈逛超市的区别	190925		2020-01-03T09:20:48.138373
40	用纸折太乙真人的猪	179415		2020-01-03T09:20:48.138440
41	人民陆军版野狼disco	162279	新	2020-01-03T09:20:48.138509
42	冬季和夏季哪个更可怕	150864	新	2020-01-03T09:20:48.138594
43	男女吵架过后的区别	126445	新	2020-01-03T09:20:48.138680
44	世遗福建土楼首次上演灯光秀	119853	新	2020-01-03T09:20:48.138764
45	外交部敦促美方要保持冷静克制	114584	新	2020-01-03T09:20:48.138847
46	比伯新歌	114411		2020-01-03T09:20:48.138931
47	80岁爷爷90岁奶奶重逢	113796		2020-01-03T09:20:48.139000
48	吴昕杜海涛吵架因4块钱和好	111270	新	2020-01-03T09:20:48.139067
49	拔河比赛医生偷偷作弊	111118		2020-01-03T09:20:48.139152
50	汪友成	108323		2020-01-03T09:20:48.139220
